"Liquidacion","Tipo_Liquidacion","Especie","Recibo"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482676"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
